x1,x2,x3
3636250.638,215304.744,-0.97
3636260.194,215281.785,-1.663
3636260.436,215281.963,-1.716
3636272.597,215258.694,-3.205
3636283.271,215239.828,-4.009
3636283.319,215239.427,-3.972
3636060.741,215682.314,6.209
3636068.993,215663.536,5.457
3636081.14,215640.655,5.964
3636093.09,215617.166,6.253
3636103.803,215597.446,6.215
3636114.35,215573.715,6.076
3636126.132,215551.776,6.496
3636137.038,215528.523,5.399
3636149.591,215506.973,3.963
3636161.067,215484.053,2.971
3636172.264,215461.829,2.514
3636182.667,215439.758,1.571
3636193.621,215416.308,0.034
3636203.534,215395.449,0.004
3636215.983,215372.417,-0.206
3636227.583,215350.853,-0.9
3636777.51,214285.14,-16.15
3636777.26,214285.48,-16.12
3636776.29,214286.79,-16.07
3636776.05,214287.13,-16.04
3636775.76,214287.54,-16
3636775.47,214287.95,-15.96
3636775.31,214288.18,-15.96
3636775.02,214288.58,-16.01
3636774.85,214288.81,-16.03
3636774.68,214289.04,-16.02
3636774.38,214289.45,-16.03
3636774.1,214289.84,-16.02
3636773.75,214290.29,-15.99
3636773.5,214290.6,-15.99
3636773.21,214290.98,-16.02
3636772.9,214291.37,-16.04
3636772.55,214291.83,-16.03
3636772.3,214292.14,-16.02
3636772,214292.51,-16.05
3636771.69,214292.9,-16.08
3636771.31,214293.33,-16.09
3636771.04,214293.63,-16.08
3636770.7,214293.99,-16.07
3636770.53,214294.2,-16.04
3636770.28,214294.5,-16.02
3636770.06,214294.78,-16.05
3636769.87,214295.02,-16.08
3636769.56,214295.41,-16.11
3636769.26,214295.81,-16.11
3636768.9,214296.29,-16.07
3636768.65,214296.63,-16.02
3636768.36,214297.03,-16.02
3636768.07,214297.44,-16.02
3636767.75,214297.95,-16.01
3636767.53,214298.31,-16.01
3636767.26,214298.76,-16.02
3636766.99,214299.22,-16.02
3636766.69,214299.75,-16.01
3636766.49,214300.14,-15.99
3636766.25,214300.61,-15.95
3636766.01,214301.07,-15.91
3636765.76,214301.66,-15.89
3636765.57,214302.06,-15.88
3636765.33,214302.56,-15.89
3636765.11,214303.05,-15.92
3636764.86,214303.64,-15.94
3636764.68,214304.06,-15.97
3636764.48,214304.56,-16.02
3636764.27,214305.06,-16.03
3636764.01,214305.66,-16.02
3636763.82,214306.07,-16
3636763.61,214306.57,-15.94
3636763.37,214307.07,-15.9
3636763.1,214307.63,-15.85
3636762.9,214308.02,-15.86
3636762.67,214308.5,-15.89
3636762.43,214308.98,-15.9
3636762.15,214309.54,-15.93
3636761.96,214309.93,-15.93
3636761.72,214310.41,-15.92
3636761.48,214310.86,-15.9
3636761.2,214311.39,-15.89
3636761.01,214311.75,-15.89
3636760.79,214312.2,-15.93
3636760.57,214312.66,-15.98
3636760.3,214313.18,-15.95
3636760.11,214313.54,-15.92
3636759.89,214313.98,-15.93
3636759.67,214314.41,-15.99
3636759.42,214314.9,-16.05
3636759.26,214315.25,-16.06
3636759.06,214315.69,-16.04
3636758.87,214316.12,-16.01
3636758.63,214316.62,-15.96
3636758.47,214316.96,-16
3636758.27,214317.39,-16.06
3636758.09,214317.8,-16.06
3636757.87,214318.29,-16.07
3636757.73,214318.63,-16.07
3636757.54,214319.05,-16.08
3636757.36,214319.47,-16.11
3636757.16,214319.98,-16.1
3636757.02,214320.31,-16.1
3636756.86,214320.75,-16.06
3636756.72,214321.17,-16.06
3636756.55,214321.68,-16.05
3636756.44,214322.04,-16.04
3636756.32,214322.49,-16.01
3636756.2,214322.93,-15.93
3636756.06,214323.46,-15.91
3636755.97,214323.84,-15.93
3636755.85,214324.29,-15.95
3636755.73,214324.74,-15.93
3636755.6,214325.27,-15.92
3636755.52,214325.65,-15.88
3636755.38,214326.12,-15.85
3636755.25,214326.56,-15.86
3636755.09,214327.1,-15.85
3636754.97,214327.46,-15.81
3636754.82,214327.92,-15.76
3636754.67,214328.38,-15.74
3636754.49,214328.93,-15.73
3636754.37,214329.3,-15.72
3636754.19,214329.77,-15.69
3636754.03,214330.24,-15.65
3636753.84,214330.82,-15.65
3636753.7,214331.22,-15.7
3636753.53,214331.71,-15.75
3636753.35,214332.2,-15.77
3636753.14,214332.78,-15.76
3636752.99,214333.19,-15.76
3636752.81,214333.7,-15.75
3636752.61,214334.22,-15.74
3636752.39,214334.83,-15.74
3636752.24,214335.25,-15.75
3636752.05,214335.77,-15.75
3636751.86,214336.27,-15.77
3636751.65,214336.89,-15.78
3636751.5,214337.33,-15.76
3636751.33,214337.85,-15.72
