x1,x2,x3
3636506.132,215347.142,-3.948
3636499.356,215364.477,-3.614
3636484.586,215387.849,-2.796
3636478.487,215410.703,-1.687
3636478.38,215410.721,-1.681
3636463.547,215431.764,-0.939
3636453.291,215455.954,-0.848
3636442.276,215479.063,-0.66
3636430.527,215500.652,-1.304
3636421.046,215522.524,-0.789
3636409.669,215545.173,0.787
3636398.141,215566.813,2.682
3636385.645,215588.852,2.872
3636374.353,215612.471,4.017
3636364.302,215633.227,5.156
3636353.476,215655.719,5.628
3636342.562,215678.07,5.233
3636333.525,215698.868,5.514
3636317.099,215724.314,5.484
3636306.492,215744.27,4.973
3636293.236,215766.881,4.357
3636283.429,215788.998,4.267
3636272.604,215811.136,4.405
3636265.462,215835.118,4.623
3636251.006,215856.363,4.581
3636243.28,215878.045,4.663
3637000.44,214369.26,-16.78
3637000.12,214369.6,-16.78
3636999.17,214370.65,-16.76
3636998.83,214371.01,-16.75
3636998.46,214371.44,-16.76
3636998.21,214371.73,-16.72
3636998.02,214371.93,-16.71
3636997.75,214372.22,-16.7
3636997.58,214372.45,-16.68
3636997.35,214372.75,-16.68
3636996.97,214373.21,-16.67
3636996.71,214373.53,-16.63
3636996.4,214373.9,-16.61
3636996.09,214374.3,-16.58
3636995.72,214374.8,-16.55
3636995.48,214375.15,-16.53
3636995.18,214375.56,-16.52
3636994.88,214375.99,-16.48
3636994.55,214376.5,-16.46
3636994.32,214376.86,-16.48
3636994.04,214377.3,-16.5
3636993.75,214377.72,-16.5
3636993.4,214378.24,-16.47
3636993.15,214378.61,-16.47
3636992.84,214379.01,-16.49
3636992.53,214379.41,-16.51
3636992.16,214379.88,-16.49
3636991.9,214380.21,-16.47
3636991.58,214380.61,-16.46
3636991.25,214380.99,-16.49
3636990.84,214381.44,-16.51
3636990.56,214381.75,-16.51
3636990.22,214382.11,-16.5
3636989.87,214382.48,-16.51
3636989.44,214382.9,-16.53
3636989.15,214383.18,-16.55
3636988.79,214383.53,-16.57
3636988.41,214383.88,-16.59
3636987.98,214384.27,-16.57
3636987.7,214384.54,-16.56
